n,grid,K,Acc
10000,"[2, 4]",2,0.8237
10000,"[2, 4]",3,0.8351
10000,"[2, 4]",4,0.8385
10000,"[2, 4]",5,0.8383
10000,"[2, 4]",6,0.8452
10000,"[2, 4]",7,0.8404
10000,"[4, 2]",2,0.8237
10000,"[4, 2]",3,0.8351
10000,"[4, 2]",4,0.8385
10000,"[4, 2]",5,0.8383
10000,"[4, 2]",6,0.8452
10000,"[4, 2]",7,0.8404
10000,"[4, 4]",2,0.8821
10000,"[4, 4]",3,0.8884
10000,"[4, 4]",4,0.8896
10000,"[4, 4]",5,0.8892
10000,"[4, 4]",6,0.8898
10000,"[4, 4]",7,0.8882
10000,"[7, 7]",2,0.8418
10000,"[7, 7]",3,0.8423
10000,"[7, 7]",4,0.8394
10000,"[7, 7]",5,0.8323
10000,"[7, 7]",6,0.8333
10000,"[7, 7]",7,0.8272
20000,"[2, 4]",2,0.8719
20000,"[2, 4]",3,0.8741
20000,"[2, 4]",4,0.8739
20000,"[2, 4]",5,0.8727
20000,"[2, 4]",6,0.8717
20000,"[2, 4]",7,0.8709
20000,"[4, 2]",2,0.8373
20000,"[4, 2]",3,0.8473
20000,"[4, 2]",4,0.8521
20000,"[4, 2]",5,0.8531
20000,"[4, 2]",6,0.8562
20000,"[4, 2]",7,0.8546
20000,"[4, 4]",2,0.896
20000,"[4, 4]",3,0.9008
20000,"[4, 4]",4,0.901
20000,"[4, 4]",5,0.9025
20000,"[4, 4]",6,0.9024
20000,"[4, 4]",7,0.9014
20000,"[7, 7]",2,0.866
20000,"[7, 7]",3,0.8678
20000,"[7, 7]",4,0.8662
20000,"[7, 7]",5,0.8627
20000,"[7, 7]",6,0.8614
20000,"[7, 7]",7,0.8612
60000,"[2, 4]",2,0.8899
60000,"[2, 4]",3,0.885
60000,"[2, 4]",4,0.8862
60000,"[2, 4]",5,0.8866
60000,"[2, 4]",6,0.8852
60000,"[2, 4]",7,0.8872
60000,"[4, 2]",2,0.8547
60000,"[4, 2]",3,0.858
60000,"[4, 2]",4,0.8621
60000,"[4, 2]",5,0.8651
60000,"[4, 2]",6,0.8666
60000,"[4, 2]",7,0.8693
60000,"[4, 4]",2,0.907
60000,"[4, 4]",3,0.9105
60000,"[4, 4]",4,0.9118
60000,"[4, 4]",5,0.9136
60000,"[4, 4]",6,0.9141
60000,"[4, 4]",7,0.9138
60000,"[7, 7]",2,0.8866
60000,"[7, 7]",3,0.8859
60000,"[7, 7]",4,0.8858
60000,"[7, 7]",5,0.8856
60000,"[7, 7]",6,0.887
60000,"[7, 7]",7,0.8863
